product_id,current_price,optimal_price,predicted_demand,optimal_revenue,decision,demand_signal,inventory_signal,competition_signal,risk_signal,demand_trend,old_revenue,new_revenue,revenue_change,revenue_change_pct,price_change_pct
P001,47.46,56.95,422.43,24057.29,increase,normal_demand,hold_price,maintain,low_risk,60.42857142857143,2867.94,24057.3885,21189.448500000002,738.84,20.0
P002,29.23,35.08,853.78,29950.77,increase,high_demand,hold_price,raise_price,low_risk,124.0,3624.52,29950.602399999996,26326.082399999996,726.33,20.01
P003,76.65,91.98,453.75,41735.62,increase,normal_demand,decrease_price,maintain,low_risk,65.28571428571429,5004.150000000001,41735.925,36731.775,734.03,20.0
P004,22.07,26.48,673.15,17825.12,increase,high_demand,hold_price,maintain,low_risk,95.57142857142856,2109.261428571428,17825.012,15715.75057142857,745.08,19.98
P005,21.6,25.92,641.91,16638.35,increase,high_demand,decrease_price,maintain,low_risk,92.14285714285714,1990.2857142857142,16638.3072,14648.021485714286,735.98,20.0
P006,46.84,56.21,783.6,44046.3,increase,high_demand,decrease_price,maintain,low_risk,114.71428571428572,5373.217142857144,44046.156,38672.93885714286,719.74,20.0
P007,57.34,68.81,621.37,42756.24,increase,high_demand,hold_price,maintain,low_risk,89.57142857142857,5136.0257142857145,42756.4697,37620.443985714286,732.48,20.0
P008,90.61,108.73,350.8,38142.6,increase,normal_demand,decrease_price,raise_price,low_risk,50.0,4530.5,38142.484000000004,33611.984000000004,741.9,20.0
P009,38.47,46.16,751.96,34710.54,increase,high_demand,hold_price,maintain,low_risk,107.28571428571428,4127.2814285714285,34710.4736,30583.19217142857,741.0,19.99
P010,78.84,94.61,528.77,50027.08,increase,normal_demand,decrease_price,raise_price,low_risk,76.57142857142857,6036.891428571429,50026.9297,43990.03827142857,728.69,20.0
P011,61.61,73.93,311.97,23063.78,increase,normal_demand,decrease_price,maintain,low_risk,43.57142857142857,2684.4357142857143,23063.942100000004,20379.50638571429,759.17,20.0
P012,55.98,67.18,803.14,53954.69,increase,high_demand,decrease_price,maintain,low_risk,117.57142857142856,6581.64857142857,53954.9452,47373.296628571436,719.78,20.01
P013,41.51,49.81,778.24,38764.25,increase,high_demand,hold_price,raise_price,low_risk,112.14285714285714,4655.049999999999,38764.1344,34109.08440000001,732.73,20.0
P014,87.56,105.07,621.61,65312.97,increase,high_demand,hold_price,maintain,low_risk,89.57142857142857,7842.874285714286,65312.562699999995,57469.68841428571,732.76,20.0
P015,66.59,79.91,514.52,41115.6,increase,normal_demand,decrease_price,maintain,low_risk,73.42857142857143,4889.608571428572,41115.2932,36225.68462857143,740.87,20.0
P016,81.78,98.14,351.35,34481.18,increase,normal_demand,decrease_price,maintain,low_risk,49.42857142857143,4042.2685714285717,34481.489,30439.22042857143,753.02,20.0
P017,73.06,87.67,532.34,46670.65,increase,normal_demand,hold_price,raise_price,low_risk,76.28571428571429,5573.4342857142865,46670.247800000005,41096.81351428572,737.37,20.0
P018,72.09,86.51,462.2,39984.69,increase,normal_demand,decrease_price,maintain,low_risk,66.14285714285714,4768.238571428571,39984.922,35216.68342857143,738.57,20.0
P019,27.63,33.16,427.77,14185.01,increase,normal_demand,decrease_price,maintain,low_risk,59.71428571428572,1649.9057142857143,14184.853199999998,12534.947485714283,759.74,20.01
P020,74.55,74.55,494.6,36872.69,hold,normal_demand,decrease_price,lower_price,low_risk,70.85714285714286,5282.400000000001,36872.43,31590.03,598.02,0.0
P021,84.9,84.9,367.05,31162.76,hold,normal_demand,decrease_price,lower_price,low_risk,52.142857142857146,4426.928571428572,31162.545000000002,26735.61642857143,603.93,0.0
P022,25.98,31.18,866.09,27004.63,increase,high_demand,hold_price,maintain,low_risk,126.0,3273.48,27004.6862,23731.2062,724.95,20.02
P023,68.31,68.31,312.67,21358.19,hold,normal_demand,decrease_price,lower_price,low_risk,43.71428571428572,2986.122857142858,21358.4877,18372.364842857143,615.26,0.0
P024,63.19,75.83,469.87,35630.02,increase,normal_demand,decrease_price,maintain,low_risk,68.0,4296.92,35630.2421,31333.322100000005,729.2,20.0
P025,81.4,97.68,572.09,55882.08,increase,high_demand,decrease_price,raise_price,low_risk,83.28571428571429,6779.4571428571435,55881.751200000006,49102.29405714286,724.28,20.0
P026,59.35,59.35,609.03,36146.16,hold,high_demand,hold_price,lower_price,low_risk,87.28571428571429,5180.407142857143,36145.9305,30965.523357142858,597.74,0.0
P027,27.36,32.83,500.78,16440.54,increase,normal_demand,decrease_price,maintain,low_risk,70.85714285714286,1938.6514285714286,16440.607399999997,14501.955971428568,748.04,19.99
P028,57.82,69.38,333.31,23125.37,increase,normal_demand,decrease_price,raise_price,low_risk,46.57142857142857,2692.7599999999998,23125.0478,20432.287800000002,758.79,19.99
P029,39.53,47.44,680.82,32298.09,increase,high_demand,decrease_price,maintain,low_risk,98.28571428571428,3885.2342857142853,32298.1008,28412.866514285713,731.3,20.01
P030,22.67,27.2,687.57,18702.03,increase,high_demand,decrease_price,maintain,low_risk,98.42857142857144,2231.375714285715,18701.904000000002,16470.52828571429,738.13,19.98
